"observation","jj","kk","y"
1,2,2,0
2,4,4,0
3,2,1,1
4,4,6,1
5,4,6,0
6,1,3,0
7,3,5,0
8,4,2,0
9,3,1,0
10,2,3,1
11,4,3,0
12,2,3,0
13,3,2,0
14,3,4,0
15,1,1,0
16,4,5,0
17,1,4,0
18,1,4,0
19,2,3,0
20,4,2,1
21,4,3,0
22,3,5,0
23,3,4,0
24,4,3,0
25,3,5,0
26,3,2,0
27,3,4,0
28,3,3,0
29,2,2,1
30,1,4,0
31,4,2,0
32,4,4,0
33,3,3,0
34,4,1,1
35,1,4,0
36,2,4,0
37,4,1,1
38,1,4,0
39,2,3,0
40,1,3,0
41,1,5,0
42,2,5,1
43,2,3,0
44,2,4,0
45,1,2,0
46,1,1,0
47,1,3,0
48,2,1,1
49,2,6,0
50,4,6,0
51,1,5,0
52,2,5,1
53,4,6,1
54,1,4,0
55,3,4,0
56,1,2,0
57,1,4,0
58,4,2,0
59,4,2,0
60,2,5,1
61,3,5,0
62,1,2,1
63,2,2,0
64,2,3,0
65,4,1,0
66,2,5,1
67,4,4,0
68,4,1,0
69,4,6,1
70,2,4,0
71,4,5,1
72,3,6,0
73,3,6,0
74,1,5,0
75,2,4,0
76,1,4,0
77,2,2,0
78,3,1,0
79,2,3,0
80,1,3,0
81,1,3,0
82,3,2,0
83,2,2,0
84,4,3,0
85,1,5,0
86,2,2,1
87,4,1,0
88,4,1,0
89,4,5,0
90,1,3,0
91,1,5,1
92,3,1,1
93,2,1,0
94,3,1,0
95,2,5,0
96,1,5,1
97,4,6,0
98,1,4,0
99,2,2,0
100,3,2,0
101,3,5,0
102,2,5,1
103,2,2,1
104,4,5,1
105,2,6,0
106,4,4,0
107,4,4,0
108,3,6,0
109,2,6,0
110,1,4,0
111,4,1,0
112,2,5,1
113,1,3,0
114,4,3,0
115,3,2,0
116,1,2,0
117,3,3,0
118,4,6,0
119,3,2,0
120,2,4,0
121,3,2,0
122,2,2,0
123,2,5,0
124,1,2,0
125,2,1,0
126,4,1,1
127,1,6,0
128,1,4,0
129,1,1,1
130,3,4,0
131,3,4,0
132,4,5,0
133,3,5,1
134,3,4,0
135,3,5,0
136,3,5,0
137,4,3,0
138,4,2,0
139,4,4,0
140,2,2,1
141,2,5,1
142,2,3,0
143,1,1,1
144,1,6,0
145,4,2,0
146,1,3,1
147,1,4,0
148,1,4,0
149,1,2,0
150,3,1,0
151,4,6,0
152,2,4,0
153,2,5,0
154,1,6,0
155,1,4,0
156,2,3,0
157,3,1,0
158,1,6,0
159,2,4,0
160,1,2,1
161,3,3,0
162,2,2,0
163,3,3,0
164,2,2,0
165,2,1,0
166,3,1,1
167,3,5,0
168,1,2,0
169,2,1,0
170,2,6,0
171,3,3,0
172,1,3,0
173,4,4,0
174,3,6,0
175,3,2,0
176,3,4,0
177,2,5,1
178,3,3,0
179,4,1,0
180,3,4,0
181,4,1,0
182,2,2,0
183,3,5,0
184,2,6,0
185,3,5,0
186,2,1,0
187,2,3,0
188,3,5,1
189,4,5,0
190,4,4,0
191,2,1,0
192,2,4,0
193,4,3,0
194,3,5,1
195,4,1,0
196,2,2,1
197,2,6,1
198,3,1,0
199,1,6,0
200,3,3,0
201,1,6,0
202,4,6,1
203,3,3,0
204,3,5,0
205,2,3,1
206,4,6,0
207,2,1,1
208,2,1,0
209,1,5,0
210,1,4,0
211,2,3,1
212,2,6,0
213,1,2,0
214,3,4,0
215,1,1,0
216,3,5,1
217,2,3,1
218,2,5,1
219,4,2,0
220,4,6,0
221,2,3,0
222,4,4,0
223,3,1,0
224,3,6,0
225,1,6,1
226,2,1,1
227,2,3,1
228,3,2,0
229,3,6,0
230,4,4,0
231,3,1,0
232,2,2,0
233,3,2,1
234,1,4,0
235,2,2,0
236,2,1,0
237,1,1,0
238,4,5,0
239,1,6,0
240,4,2,1
241,3,1,1
242,3,2,1
243,1,4,0
244,3,3,0
245,2,5,1
246,3,2,0
247,2,4,0
248,4,1,0
249,4,2,0
250,3,5,0
251,2,5,1
252,1,4,0
253,3,4,0
254,2,1,0
255,3,1,0
256,4,6,0
257,1,1,1
258,2,2,0
259,2,6,0
260,4,4,0
261,4,2,0
262,4,4,0
263,3,1,1
264,4,1,0
265,3,5,1
266,3,1,0
267,2,4,0
268,2,6,0
269,1,1,0
270,3,6,0
271,4,1,0
272,1,5,1
273,1,3,0
274,1,4,0
275,4,6,0
276,3,4,0
277,4,5,0
278,2,4,0
279,1,2,0
280,3,3,0
281,4,2,0
282,1,6,0
283,2,4,0
284,1,5,1
285,1,4,0
286,2,2,0
287,1,5,1
288,1,4,0
289,1,3,0
290,3,4,0
291,2,5,1
292,1,4,0
293,1,2,0
294,4,6,0
295,4,3,0
296,4,2,0
297,4,5,0
298,1,5,0
299,1,6,0
300,4,4,0
301,4,1,0
302,1,3,0
303,4,4,0
304,3,6,1
305,3,5,1
306,2,4,0
307,1,1,0
308,1,1,1
309,2,5,0
310,2,1,0
311,2,2,0
312,2,3,0
313,3,6,0
314,1,2,0
315,2,5,1
316,4,1,1
317,4,5,1
318,1,2,0
319,2,4,0
320,4,1,0
321,4,5,0
322,2,3,0
323,1,6,0
324,3,3,0
325,1,6,0
326,1,3,0
327,4,3,0
328,1,3,0
329,2,1,1
330,4,4,0
331,3,4,0
332,2,2,0
333,3,4,0
334,4,4,0
335,2,3,0
336,2,2,1
337,3,5,0
338,3,5,0
339,3,6,0
340,4,4,0
341,2,2,0
342,1,3,1
343,3,3,0
344,1,2,0
345,2,4,0
346,2,6,0
347,4,2,0
348,2,4,1
349,1,4,0
350,3,4,0
351,1,1,0
352,4,1,0
353,3,1,1
354,1,1,0
355,3,1,0
356,4,3,0
357,3,2,0
358,2,5,1
359,2,2,0
360,4,3,0
361,1,4,1
362,1,1,0
363,4,6,0
364,2,3,0
365,2,2,1
366,4,2,0
367,1,1,0
368,1,4,0
369,2,1,1
370,2,2,1
371,2,3,0
372,2,2,0
373,4,3,0
374,2,4,0
375,3,5,0
376,4,5,1
377,4,3,0
378,1,6,0
379,2,1,0
380,4,4,0
381,3,3,0
382,4,3,0
383,2,6,0
384,4,1,0
385,3,6,0
386,4,2,0
387,1,2,1
388,2,6,0
389,1,1,0
390,1,2,0
391,4,6,0
392,2,5,1
393,3,3,0
394,4,3,0
395,1,3,0
396,1,5,0
397,2,4,0
398,1,3,0
399,1,1,1
400,4,2,0
401,4,2,0
402,1,2,0
403,4,1,0
404,3,3,0
405,2,2,1
406,2,5,1
407,3,4,0
408,1,6,0
409,2,1,0
410,3,6,0
411,2,5,0
412,4,6,0
413,1,4,0
414,2,1,0
415,2,2,0
416,1,5,0
417,4,4,0
418,2,2,0
419,2,5,0
420,1,3,0
421,3,6,1
422,3,4,0
423,3,3,0
424,2,6,0
425,4,3,0
426,3,1,0
427,2,3,0
428,2,6,1
429,1,6,0
430,4,3,0
431,4,6,0
432,3,2,0
433,2,5,1
434,4,5,0
435,1,3,0
436,3,3,0
437,1,4,0
438,2,6,0
439,1,4,0
440,1,4,0
441,2,1,0
442,3,4,0
443,3,1,0
444,1,3,0
445,4,5,0
446,3,5,0
447,4,1,0
448,1,3,0
449,2,4,0
450,3,2,1
451,3,4,0
452,2,5,1
453,1,5,0
454,1,1,0
455,1,4,0
456,4,5,1
457,4,2,0
458,3,5,0
459,1,6,1
460,1,1,1
461,4,6,1
462,2,5,0
463,2,5,1
464,1,2,0
465,3,1,0
466,2,6,1
467,1,6,0
468,3,1,0
469,2,3,0
470,4,3,0
471,1,5,1
472,4,1,0
473,2,5,0
474,4,3,0
475,3,3,0
476,2,5,1
477,3,3,0
478,1,6,0
479,1,6,0
480,3,5,0
481,1,5,0
482,4,1,0
483,2,6,0
484,3,5,0
485,4,6,0
486,1,1,1
487,1,5,0
488,3,3,0
489,2,4,0
490,4,5,0
491,4,1,1
492,1,1,0
493,2,6,0
494,3,5,0
495,1,2,1
496,4,5,1
497,2,6,0
498,1,2,0
499,3,4,0
500,4,3,0
501,2,6,0
502,2,6,0
503,2,3,0
504,1,2,1
505,2,5,0
506,1,4,0
507,3,4,0
508,3,3,0
509,4,3,0
510,2,4,0
511,2,3,1
512,1,6,0
513,4,6,1
514,2,2,0
515,3,3,0
516,1,3,0
517,2,1,0
