"sampleNum","varName","value"
1,"mu",-0.52471850590318
2,"mu",-0.697280880986743
3,"mu",-0.456463912818471
4,"mu",-0.466106913052793
5,"mu",-0.618941191444868
6,"mu",-0.603047062425502
7,"mu",-0.527477216421842
8,"mu",-0.414191425013412
9,"mu",-0.531941323978834
10,"mu",-0.421763437088518
11,"mu",-0.546957215344532
12,"mu",-0.469796743727077
13,"mu",-0.369085060496803
14,"mu",-0.41906736445641
15,"mu",-0.569600967574081
16,"mu",-0.310096910387352
17,"mu",-0.456421150292161
18,"mu",-0.500552960069321
19,"mu",-0.373900218202344
20,"mu",-0.561424438413382
21,"mu",-0.450611077765012
22,"mu",-0.404540581185282
23,"mu",-0.522475968253771
24,"mu",-0.504288866860671
25,"mu",-0.575642348562162
26,"mu",-0.485783636317083
27,"mu",-0.45507862068248
28,"mu",-0.575837678911066
29,"mu",-0.430295351671944
30,"mu",-0.420959324930943
31,"mu",-0.681353073852418
32,"mu",-0.480382789913052
33,"mu",-0.557346904949595
34,"mu",-0.555197196552737
35,"mu",-0.491927889537073
36,"mu",-0.414140628795469
37,"mu",-0.600738134599818
38,"mu",-0.465294321960933
39,"mu",-0.529149195276902
40,"mu",-0.476329877605069
41,"mu",-0.4865494797688
42,"mu",-0.445741467431476
43,"mu",-0.565053128616007
44,"mu",-0.421789536802099
45,"mu",-0.56721224215196
46,"mu",-0.404024187628034
47,"mu",-0.561738049647309
48,"mu",-0.416106028961519
49,"mu",-0.605385380401711
50,"mu",-0.442635074013129
51,"mu",-0.499589735083793
52,"mu",-0.452174417821364
53,"mu",-0.520770609682156
54,"mu",-0.462006913870473
55,"mu",-0.490628913455602
56,"mu",-0.486151655396564
57,"mu",-0.485796581242275
58,"mu",-0.546001742134421
59,"mu",-0.42655483975825
60,"mu",-0.543342374401825
61,"mu",-0.462851902902188
62,"mu",-0.41673872994967
63,"mu",-0.642976456196448
64,"mu",-0.450234534725382
65,"mu",-0.425354830680735
66,"mu",-0.575896786461557
