"sampleNum","varName","value"
1,"alpha",1.2488999240497
2,"alpha",1.20090500439002
3,"alpha",1.51305866388047
4,"alpha",1.49822752816312
5,"alpha",1.48149638925763
6,"alpha",1.71382880638855
7,"alpha",1.68656981466071
8,"alpha",1.52702435966511
9,"alpha",1.31655379754881
10,"alpha",1.49492623483936
11,"alpha",1.49534690915293
12,"alpha",1.45466139181261
13,"alpha",1.25680749860241
14,"alpha",1.20222032058026
15,"alpha",1.52390571659712
16,"alpha",1.331401557111
17,"alpha",1.62708478838068
18,"alpha",1.73619696653378
19,"alpha",1.8530858796757
20,"alpha",1.6829698155723
21,"alpha",1.54782906392078
22,"alpha",1.69963378590604
23,"alpha",1.5377750793359
24,"alpha",1.52786002799019
25,"alpha",1.36918672407576
26,"alpha",1.32937277893118
27,"alpha",1.48529314844386
28,"alpha",1.65281657347129
29,"alpha",1.53306087045603
30,"alpha",1.52151218376733
31,"alpha",1.4506971006995
32,"alpha",1.62500481848783
33,"alpha",1.28456137973457
34,"alpha",1.68739259176509
35,"alpha",1.72776642273754
36,"alpha",1.32364127367672
37,"alpha",1.5922811076457
38,"alpha",1.49088225811301
39,"alpha",1.35811296338242
40,"alpha",1.61227492833399
41,"alpha",1.41721169536402
42,"alpha",1.56676717135807
43,"alpha",1.64313738553834
44,"alpha",1.35675872682354
45,"alpha",1.39721663372385
46,"alpha",1.22197524793398
47,"alpha",1.46516750173905
48,"alpha",1.48855482283712
49,"alpha",1.35025345610853
50,"alpha",1.53112184145515
51,"alpha",1.55409618372823
52,"alpha",1.39959528394732
53,"alpha",1.38510085058356
54,"alpha",1.25960042390993
55,"alpha",1.3428320224608
56,"alpha",1.25990136934472
57,"alpha",1.74421247927958
58,"alpha",1.30696084301516
59,"alpha",1.51332544645902
60,"alpha",1.51168184954839
61,"alpha",1.37670436450365
62,"alpha",1.40302896689764
63,"alpha",1.31714085667349
64,"alpha",1.4397436749509
65,"alpha",1.40417750011804
66,"alpha",1.40627993429228
67,"alpha",1.55899454993733
68,"alpha",1.62053235040707
69,"alpha",1.29450197423348
70,"alpha",1.33858756513412
71,"alpha",1.76300996072798
72,"alpha",1.54379237713602
73,"alpha",1.71863935711451
74,"alpha",1.25039498064116
75,"alpha",1.66137163215866
76,"alpha",1.04492963921055
77,"alpha",1.38787230818507
78,"alpha",1.55612267778871
79,"alpha",1.72009413314063
80,"alpha",1.5525846879447
81,"alpha",1.51193221585702
82,"alpha",1.23449671979411
83,"alpha",1.10231263683722
84,"alpha",1.31135267437807
85,"alpha",1.46810585506926
86,"alpha",1.40614388090797
87,"alpha",1.46099860310188
88,"alpha",1.56136026193668
89,"alpha",1.55599840613587
90,"alpha",1.39727245790758
91,"alpha",1.40735469046182
92,"alpha",1.28772689741242
93,"alpha",1.66179635679811
94,"alpha",1.43328771577151
95,"alpha",1.61979928222834
96,"alpha",1.62097486142373
97,"alpha",1.60902208265258
98,"alpha",1.37765762060692
99,"alpha",1.72499995546478
100,"alpha",1.38994357634282
101,"alpha",1.44492115274934
102,"alpha",1.5587294668321
103,"alpha",1.64111294099532
104,"alpha",1.36798813085617
105,"alpha",1.498548996511
106,"alpha",1.45887590590398
107,"alpha",1.46421589386931
108,"alpha",1.39627332955827
109,"alpha",1.69966347133416
110,"alpha",1.68060295568127
111,"alpha",1.32669490190191
112,"alpha",1.26619796114338
113,"alpha",1.44896386144231
114,"alpha",1.4157158312686
115,"alpha",1.64292725310928
116,"alpha",1.3323959291771
117,"alpha",1.55752546102857
118,"alpha",1.48263552675805
119,"alpha",1.47930636421752
120,"alpha",1.51908768429316
121,"alpha",1.76850506627074
122,"alpha",1.72644707483926
123,"alpha",1.50559685973329
124,"alpha",1.54895400699613
125,"alpha",1.4852435471709
126,"alpha",1.3388388540484
127,"alpha",1.59898867211596
128,"alpha",1.36811128528789
129,"alpha",1.30888692607394
130,"alpha",1.3885350834731
131,"alpha",1.5646168408286
132,"alpha",1.48723744722206
133,"alpha",1.63248204486645
134,"alpha",1.52685919687303
135,"alpha",1.44382536360122
136,"alpha",1.29128845238799
137,"alpha",1.64211817447569
138,"alpha",1.37346331442944
139,"alpha",1.64771325388424
140,"alpha",1.35597614913
141,"alpha",1.60623473264044
142,"alpha",1.55792995436315
143,"alpha",1.62662527841548
144,"alpha",1.31209233871867
145,"alpha",1.45503861583291
146,"alpha",1.58893067890448
147,"alpha",1.38781940569547
148,"alpha",1.24207366811286
149,"alpha",1.59783159128561
150,"alpha",1.38353544957136
151,"alpha",1.34816000760874
152,"alpha",1.59202950964265
153,"alpha",1.45410211075852
154,"alpha",1.55866884872703
155,"alpha",1.52727889854651
156,"alpha",1.31445654652098
157,"alpha",1.51655622920184
158,"alpha",1.33035416057144
159,"alpha",1.54101838440406
160,"alpha",1.73392646782682
161,"alpha",1.40118860595169
162,"alpha",1.41272607181067
163,"alpha",1.32916920063816
164,"alpha",1.55585873865474
165,"alpha",1.51393418427119
166,"alpha",1.40022139668837
167,"alpha",1.64638252713387
168,"alpha",1.65687541854194
169,"alpha",1.70390560880657
170,"alpha",1.33361861913337
171,"alpha",1.47730408879316
172,"alpha",1.58628697329337
173,"alpha",1.47066218102485
174,"alpha",1.54955055196222
175,"alpha",1.46592164571389
176,"alpha",1.52611111797541
177,"alpha",1.6403571019905
178,"alpha",1.22330632839366
179,"alpha",1.47343694299673
180,"alpha",1.40963454652732
181,"alpha",1.3815187872053
182,"alpha",1.23241448859889
183,"alpha",1.34653229016061
184,"alpha",1.43989113497534
185,"alpha",1.2843400071858
186,"alpha",1.28395501770709
187,"alpha",1.42663220056774
188,"alpha",1.46060301812879
189,"alpha",1.62718566975311
190,"alpha",1.43557294382515
191,"alpha",1.55731194323769
192,"alpha",1.59673636178243
193,"alpha",1.54388362790849
194,"alpha",1.44598965572305
195,"alpha",1.86590344795375
196,"alpha",1.20991231178426
197,"alpha",1.34785632128699
198,"alpha",1.42496276882157
199,"alpha",1.48074023728012
200,"alpha",1.3337041234317
201,"alpha",1.46890483884617
202,"alpha",1.34685417986904
203,"alpha",1.50756426164854
204,"alpha",1.58974217940725
205,"alpha",1.32225749196941
206,"alpha",1.63275812805209
207,"alpha",1.43777628068833
208,"alpha",1.437774555019
209,"alpha",1.45048065642384
210,"alpha",1.52435450479672
211,"alpha",1.58001535393707
212,"alpha",1.60388701931143
213,"alpha",1.33131252159841
214,"alpha",1.29141189148505
215,"alpha",1.69457889442891
216,"alpha",1.48037182722201
217,"alpha",1.46589924109068
218,"alpha",1.44253458701684
219,"alpha",1.46603398637321
220,"alpha",1.35992977199195
221,"alpha",1.21106521269787
222,"alpha",1.77477774034687
223,"alpha",1.18453854782626
224,"alpha",1.53905632645224
225,"alpha",1.49595675121777
226,"alpha",1.4002795871673
227,"alpha",1.41165506898082
228,"alpha",1.51964518969076
229,"alpha",1.45477864608526
230,"alpha",1.39890037206005
231,"alpha",1.58159673760271
232,"alpha",1.50718186402779
233,"alpha",1.45037808398169
234,"alpha",1.59768176728794
235,"alpha",1.560464324775
236,"alpha",1.36818917663419
237,"alpha",1.44695009309121
238,"alpha",1.50431230874887
239,"alpha",1.53474825116784
240,"alpha",1.37847037457954
241,"alpha",1.56481227586153
242,"alpha",1.4683743808826
243,"alpha",1.53340109818334
244,"alpha",1.44146094366947
245,"alpha",1.52152695310636
246,"alpha",1.83409236650233
247,"alpha",1.31947984041287
248,"alpha",1.39181789313815
249,"alpha",1.58726329618082
250,"alpha",1.31914616674711
251,"alpha",1.68086249050026
252,"alpha",1.35063862372581
253,"alpha",1.4260747780735
254,"alpha",1.70976225425845
255,"alpha",1.67486598503814
256,"alpha",1.65524214959499
257,"alpha",1.45485669666464
258,"alpha",1.53865418239728
259,"alpha",1.67991734692977
260,"alpha",1.36945304396125
261,"alpha",1.29005673842442
262,"alpha",1.51249225630016
263,"alpha",1.47794480989144
264,"alpha",1.62091952818533
265,"alpha",1.31056017777657
266,"alpha",1.32760009884235
267,"alpha",1.63198146359323
268,"alpha",1.34134964396196
269,"alpha",1.76576214530127
270,"alpha",1.33737723851108
271,"alpha",1.5775768390319
272,"alpha",1.55612323128309
273,"alpha",1.45373311015864
274,"alpha",1.5150954377502
275,"alpha",1.37760838108037
276,"alpha",1.20738575294381
277,"alpha",1.13167435007377
278,"alpha",1.58728875983856
279,"alpha",1.65384917876913
280,"alpha",1.48912231017313
281,"alpha",1.4483432495212
282,"alpha",1.56891174842691
283,"alpha",1.34193192948523
284,"alpha",1.05960696637239
285,"alpha",1.35430198229361
286,"alpha",1.42042261633094
287,"alpha",1.40382716324129
288,"alpha",1.37500448234025
289,"alpha",1.37884934995661
290,"alpha",1.32523484304651
291,"alpha",1.66316396176295
292,"alpha",1.34277942332586
293,"alpha",1.64234090945241
294,"alpha",1.31941828217936
295,"alpha",1.62444354140243
296,"alpha",1.38227884489467
297,"alpha",1.57840148776719
298,"alpha",1.47665015937888
299,"alpha",1.63964642414165
300,"alpha",1.3300685122733
301,"alpha",1.49207939015799
302,"alpha",1.54496043425189
303,"alpha",1.70303341285231
304,"alpha",1.60376275673247
305,"alpha",1.23694944620772
306,"alpha",1.47544881091193
307,"alpha",1.18890782961879
308,"alpha",1.28533165038016
309,"alpha",1.24277768380845
310,"alpha",1.41313146558588
311,"alpha",1.3546500615271
312,"alpha",1.63454590477762
313,"alpha",1.53449853910739
314,"alpha",1.39787505691513
315,"alpha",1.51406484419805
316,"alpha",1.33949076953017
317,"alpha",1.56717309941928
318,"alpha",1.60975742628176
319,"alpha",1.29732339940924
320,"alpha",1.65099340729817
321,"alpha",1.47474023612053
322,"alpha",1.29706083361914
323,"alpha",1.66511182957025
324,"alpha",1.62346167075425
325,"alpha",1.31253915416609
326,"alpha",1.61917508418302
327,"alpha",1.23606746724432
328,"alpha",1.21591630160517
329,"alpha",1.2602454993524
330,"alpha",1.42046813766674
331,"alpha",1.77422203807148
332,"alpha",1.64910660513698
333,"alpha",1.24666296411223
334,"alpha",1.1498328861712
335,"alpha",1.33670847549678
336,"alpha",1.33094977647543
337,"alpha",1.5256521856394
338,"alpha",1.49483560101939
339,"alpha",1.45238007403972
340,"alpha",1.37241952101821
341,"alpha",1.58403385958307
342,"alpha",1.48931933202838
343,"alpha",1.30757733334692
344,"alpha",1.70491546685521
345,"alpha",1.26039238586378
346,"alpha",1.39622496921503
347,"alpha",1.2524505680945
348,"alpha",1.6358602688125
349,"alpha",1.66578291820014
350,"alpha",1.48004499959313
351,"alpha",1.4290975383932
352,"alpha",1.47495913173014
353,"alpha",1.46268907345738
354,"alpha",1.58164108439043
355,"alpha",1.43523897370074
356,"alpha",1.53109936076916
357,"alpha",1.43256937082666
358,"alpha",1.50517713461106
359,"alpha",1.31777662194823
360,"alpha",1.49741930485016
361,"alpha",1.48523443640778
362,"alpha",1.49123635927839
363,"alpha",1.52538351419492
364,"alpha",1.39538973691711
365,"alpha",1.46497126042396
366,"alpha",1.36239281351821
367,"alpha",1.39004824958879
368,"alpha",1.82320350433222
369,"alpha",1.33942659576033
370,"alpha",1.6294096451
371,"alpha",1.40050289244545
372,"alpha",1.68982084484138
373,"alpha",1.51805203450182
374,"alpha",1.43560204354092
375,"alpha",1.50261883107149
376,"alpha",1.48021363816535
377,"alpha",1.48089018803677
378,"alpha",1.4910393461432
379,"alpha",1.51529118320972
380,"alpha",1.56068344423174
381,"alpha",1.38353053660193
382,"alpha",1.23778769786377
383,"alpha",1.62533951760034
384,"alpha",1.6105824104427
385,"alpha",1.47570759049435
386,"alpha",1.44720356863326
387,"alpha",1.466112874542
388,"alpha",1.47802155703745
389,"alpha",1.46059542613916
390,"alpha",1.54236290968047
391,"alpha",1.45739833784001
392,"alpha",1.49487818476053
393,"alpha",1.49493409668397
394,"alpha",1.30487060022554
395,"alpha",1.6205154046063
396,"alpha",1.55855316475016
397,"alpha",1.52152885689315
398,"alpha",1.54698997080474
399,"alpha",1.30779954040377
400,"alpha",1.15960061100512
