"sampleNum","varName","value"
1,"alpha",-2.44060980035262
2,"alpha",-2.3124451456531
3,"alpha",-2.31866254644556
4,"alpha",-2.31706029346853
5,"alpha",-2.41140089586677
6,"alpha",-2.50345810532478
7,"alpha",-2.31739575177916
8,"alpha",-2.36055719809156
9,"alpha",-2.38588132153538
10,"alpha",-2.69973539681981
11,"alpha",-2.20202007789553
12,"alpha",-2.49518516632484
13,"alpha",-2.70075246248721
14,"alpha",-2.52057304372469
15,"alpha",-2.2945645363464
16,"alpha",-2.27533718536765
17,"alpha",-1.98073862515272
18,"alpha",-2.44794862400729
19,"alpha",-2.290157820411
20,"alpha",-2.8050905836834
21,"alpha",-2.17786581862568
22,"alpha",-2.37145523120127
23,"alpha",-2.23464120969608
24,"alpha",-2.59903268865651
25,"alpha",-2.22427880176499
26,"alpha",-2.26787793321517
27,"alpha",-2.42356671312043
28,"alpha",-2.19751186266821
29,"alpha",-2.44501484960983
30,"alpha",-2.34635379504473
31,"alpha",-2.00847289617134
32,"alpha",-2.26103845465247
33,"alpha",-2.26460942277418
34,"alpha",-2.31462534566707
35,"alpha",-2.44764551535898
36,"alpha",-2.22272437011331
37,"alpha",-2.4809593116737
38,"alpha",-2.34773810800277
39,"alpha",-2.35631000915683
40,"alpha",-2.48036433127851
41,"alpha",-2.32684753907952
42,"alpha",-2.55649160828584
43,"alpha",-2.69493853514864
44,"alpha",-2.57432848756818
45,"alpha",-2.09498101895083
46,"alpha",-2.34635094146585
47,"alpha",-2.33195072390284
48,"alpha",-2.49000583491657
49,"alpha",-2.4160100716355
50,"alpha",-2.19754867512001
51,"alpha",-2.08321114120262
52,"alpha",-2.38622065013025
53,"alpha",-2.40899122800502
54,"alpha",-2.41416007608694
55,"alpha",-2.65408611885048
56,"alpha",-2.30716957105159
57,"alpha",-2.3757236424761
58,"alpha",-2.33115425293118
59,"alpha",-2.27634900590055
60,"alpha",-2.07967225044946
61,"alpha",-2.63035304030815
62,"alpha",-2.34226249064061
63,"alpha",-2.45671135547566
64,"alpha",-2.43167984657808
65,"alpha",-2.18351516366251
66,"alpha",-2.43049998752509
67,"alpha",-2.6525291854676
68,"alpha",-2.31382715183862
69,"alpha",-2.51898322764429
70,"alpha",-2.15810877410931
71,"alpha",-2.09250641899867
72,"alpha",-2.29665604893054
73,"alpha",-2.30702715941165
74,"alpha",-2.2742107178786
75,"alpha",-2.53804064118188
76,"alpha",-2.55777175534741
77,"alpha",-2.59780636876475
78,"alpha",-2.41947328205613
79,"alpha",-2.4249288825305
80,"alpha",-2.72916752783685
81,"alpha",-2.59617644870111
82,"alpha",-2.38802103247341
83,"alpha",-2.49603102025098
84,"alpha",-2.30547964508377
85,"alpha",-2.24297348081149
86,"alpha",-2.60912798823952
87,"alpha",-2.30898359301365
88,"alpha",-2.25447554671906
89,"alpha",-2.32635772106823
90,"alpha",-2.27807224835997
91,"alpha",-2.48445614643455
92,"alpha",-2.43395409386275
93,"alpha",-2.28370749615587
94,"alpha",-2.4227442581645
95,"alpha",-2.19670240745799
96,"alpha",-2.3169393852079
97,"alpha",-2.2194790537102
98,"alpha",-2.4959405615231
99,"alpha",-2.75784886453504
100,"alpha",-2.52492988750957
101,"alpha",-2.16946012491476
102,"alpha",-2.37677654715044
103,"alpha",-2.44709850131753
104,"alpha",-2.34590244301358
105,"alpha",-2.4267278287985
106,"alpha",-2.38697385024589
107,"alpha",-2.29872715835431
108,"alpha",-2.59351011170601
109,"alpha",-2.50236099635185
110,"alpha",-2.15169662621889
111,"alpha",-2.58032813886789
112,"alpha",-2.51551881473532
113,"alpha",-2.50368209693125
114,"alpha",-2.50607936036435
115,"alpha",-2.18719558623012
116,"alpha",-2.45594665321596
117,"alpha",-2.53306557668218
118,"alpha",-2.38743161083488
119,"alpha",-2.12033267726245
120,"alpha",-2.74581178746335
121,"alpha",-2.35874726624769
122,"alpha",-2.39662126719981
123,"alpha",-2.54572825322268
124,"alpha",-2.46829299467188
125,"alpha",-2.49740794264146
126,"alpha",-2.46455481660757
127,"alpha",-2.40963031865653
128,"alpha",-2.08502454866116
129,"alpha",-2.40408042603472
130,"alpha",-1.93046548346661
131,"alpha",-2.35887662089443
132,"alpha",-2.65660337291242
133,"alpha",-2.00698406425843
134,"alpha",-2.00441719209087
135,"alpha",-2.5507102836803
136,"alpha",-2.23928821382366
137,"alpha",-2.54869850592121
138,"alpha",-2.47336412890781
139,"alpha",-2.31230014713207
140,"alpha",-2.45470159889861
141,"alpha",-2.54908053880388
142,"alpha",-2.39546120001284
143,"alpha",-2.45387430189899
144,"alpha",-2.55021800767808
145,"alpha",-2.36543727475598
146,"alpha",-2.58346008351766
147,"alpha",-2.1904495998623
148,"alpha",-2.38580127702573
149,"alpha",-2.12766942443441
150,"alpha",-2.44505177894346
151,"alpha",-2.45619900525532
152,"alpha",-2.4614646666268
153,"alpha",-2.65942651921899
154,"alpha",-2.12813865802363
155,"alpha",-2.46560788326969
156,"alpha",-2.65504323409034
157,"alpha",-2.39031842521512
158,"alpha",-1.96069246590651
159,"alpha",-2.29309662791837
160,"alpha",-2.28379402007646
161,"alpha",-2.45569059878519
162,"alpha",-2.50998771404724
163,"alpha",-2.18568724364409
164,"alpha",-2.28055495912195
165,"alpha",-2.31843837674072
166,"alpha",-2.54456343109871
167,"alpha",-2.15864526660531
168,"alpha",-2.4955982366134
169,"alpha",-2.37169959513683
170,"alpha",-2.44816952620263
171,"alpha",-2.5747428823879
172,"alpha",-2.23264190718641
173,"alpha",-2.75380847934673
174,"alpha",-2.35695927302668
175,"alpha",-2.33943837270667
176,"alpha",-2.41108105415013
177,"alpha",-2.24684746991547
178,"alpha",-2.29722166040952
179,"alpha",-2.28314075411307
180,"alpha",-2.40738545987393
181,"alpha",-2.38435362736753
182,"alpha",-2.51165381136878
183,"alpha",-2.69723441538562
184,"alpha",-2.39768788003781
185,"alpha",-2.52008370505714
186,"alpha",-2.64064176215214
187,"alpha",-2.3257294962155
188,"alpha",-2.49445921943329
189,"alpha",-2.22216924515591
190,"alpha",-2.61384350038448
191,"alpha",-2.55728528399763
192,"alpha",-2.62873079134241
193,"alpha",-2.30937556339968
194,"alpha",-2.30792035125295
195,"alpha",-2.3990753827612
196,"alpha",-2.56962282982034
197,"alpha",-2.68772340373182
198,"alpha",-2.21477512096146
199,"alpha",-2.14016166206749
200,"alpha",-2.19773263455483
201,"alpha",-2.64955475350133
202,"alpha",-2.49229626072916
203,"alpha",-2.28020584640913
204,"alpha",-2.23097057054446
205,"alpha",-2.10945937372178
206,"alpha",-2.22066011496037
207,"alpha",-2.32814024290629
208,"alpha",-2.28959498282415
209,"alpha",-2.20348154938664
210,"alpha",-2.42935142018033
211,"alpha",-2.31205108522556
212,"alpha",-2.71753384810048
213,"alpha",-2.7286969021803
214,"alpha",-2.53054105410477
215,"alpha",-2.19036765347129
216,"alpha",-2.16324455891606
217,"alpha",-2.32694077079714
218,"alpha",-2.26229095303077
219,"alpha",-2.51297679513205
220,"alpha",-2.34898925624229
221,"alpha",-2.45867161805751
222,"alpha",-2.39850423814257
223,"alpha",-2.27467461683213
224,"alpha",-2.3222567066042
225,"alpha",-2.57473250393844
226,"alpha",-2.65248454628148
227,"alpha",-2.26442130524196
228,"alpha",-2.44416386780264
229,"alpha",-1.98220815464587
230,"alpha",-2.34328259049156
231,"alpha",-2.50612145119536
232,"alpha",-2.26195592572289
233,"alpha",-2.52685311441259
234,"alpha",-2.52922607249306
235,"alpha",-2.153835878145
236,"alpha",-2.1589617586159
237,"alpha",-2.24425967020223
238,"alpha",-2.39899674321374
239,"alpha",-2.29181441305612
240,"alpha",-2.35514462372725
241,"alpha",-2.73114639249953
242,"alpha",-2.21122922717931
243,"alpha",-2.23374731198437
244,"alpha",-2.34239354487188
245,"alpha",-2.06961982444121
246,"alpha",-2.38257651743256
247,"alpha",-2.3312470346584
248,"alpha",-2.25649082327656
249,"alpha",-2.37502681689896
250,"alpha",-2.24703951607878
251,"alpha",-2.3829660570422
252,"alpha",-2.29813611166045
253,"alpha",-2.33096634634356
254,"alpha",-2.40262633697035
255,"alpha",-2.05671186556659
256,"alpha",-2.32540250814472
257,"alpha",-2.02580511690092
258,"alpha",-2.35859352692097
259,"alpha",-2.369443282122
260,"alpha",-2.12359138272373
261,"alpha",-2.19962522440885
262,"alpha",-2.3626309493842
263,"alpha",-2.44011753564328
264,"alpha",-2.47452322023703
265,"alpha",-2.3875743783117
266,"alpha",-2.48765370903502
267,"alpha",-2.29285831486825
268,"alpha",-2.44858814266317
269,"alpha",-2.45852168219278
270,"alpha",-2.51150075573731
271,"alpha",-2.29266975407183
272,"alpha",-2.24541270948445
273,"alpha",-2.16142907871822
274,"alpha",-2.23616404909128
275,"alpha",-2.30117329754767
276,"alpha",-2.57440046071548
277,"alpha",-2.37000422891731
278,"alpha",-2.34331677554368
279,"alpha",-2.06247516065915
280,"alpha",-2.42718919784887
281,"alpha",-2.22499289792242
282,"alpha",-2.52704453480358
283,"alpha",-2.22217245836536
284,"alpha",-2.35993459162534
285,"alpha",-2.53713671395475
286,"alpha",-2.21563502246664
287,"alpha",-2.49778292364379
288,"alpha",-2.17615692610603
289,"alpha",-2.62677429133386
290,"alpha",-2.19680533157736
291,"alpha",-2.39172934586211
292,"alpha",-2.66500770024255
293,"alpha",-2.25438527534153
294,"alpha",-2.43559497424514
295,"alpha",-2.48361128827026
296,"alpha",-2.17491062928571
297,"alpha",-2.33323308842715
298,"alpha",-2.56503759619821
299,"alpha",-2.47730128729762
300,"alpha",-2.4916094058541
301,"alpha",-2.09436897603636
302,"alpha",-2.09871262539686
303,"alpha",-2.33560991101481
304,"alpha",-2.63395569624608
305,"alpha",-2.24901583112955
306,"alpha",-2.39239441939425
307,"alpha",-2.41949161337279
308,"alpha",-2.32201733903183
309,"alpha",-2.16463254786952
310,"alpha",-2.50771400514596
311,"alpha",-2.21880319906755
312,"alpha",-2.16787627353895
313,"alpha",-2.56225019795182
314,"alpha",-2.42082469028373
315,"alpha",-2.37549103627423
316,"alpha",-2.25799826270828
317,"alpha",-2.52843628636591
318,"alpha",-2.2505460263876
319,"alpha",-2.37701407431026
320,"alpha",-2.33859980688847
321,"alpha",-2.74000069675387
322,"alpha",-2.35233152713094
323,"alpha",-2.21465841544286
324,"alpha",-2.39358179151474
325,"alpha",-2.28515146452512
326,"alpha",-2.2303233491491
327,"alpha",-2.27138347100166
328,"alpha",-2.3084716214506
329,"alpha",-2.44303460412552
330,"alpha",-2.7335407048495
331,"alpha",-2.37217432739118
332,"alpha",-2.09992363675877
333,"alpha",-2.54351999321773
334,"alpha",-2.27341714220056
335,"alpha",-2.62234339346957
336,"alpha",-2.37515753291225
337,"alpha",-2.45076723260504
338,"alpha",-2.23766657045999
339,"alpha",-2.72170544786411
340,"alpha",-2.43725636531828
341,"alpha",-2.69264800059601
342,"alpha",-2.48183238839207
343,"alpha",-2.32609550640295
344,"alpha",-2.48842715120115
345,"alpha",-2.43245208919103
346,"alpha",-2.4286420696558
347,"alpha",-2.29067047641535
348,"alpha",-2.57720721683289
349,"alpha",-2.16814033917988
350,"alpha",-2.23008288950959
351,"alpha",-2.4714773784263
352,"alpha",-2.3646632334954
353,"alpha",-2.40278892347799
354,"alpha",-2.33057116508381
355,"alpha",-2.5518101229683
356,"alpha",-2.26737457493678
357,"alpha",-2.33944310038342
358,"alpha",-2.19415236430073
359,"alpha",-2.41060133501435
360,"alpha",-2.26251531656797
361,"alpha",-2.25736525100158
362,"alpha",-2.26282465410664
363,"alpha",-2.04675582594453
364,"alpha",-2.30124282824039
365,"alpha",-2.50739184378215
366,"alpha",-2.28640635015567
367,"alpha",-2.27007143969975
368,"alpha",-2.41047843078104
369,"alpha",-2.26618939663377
370,"alpha",-2.09527787702581
371,"alpha",-2.57982444058377
372,"alpha",-2.41491856133131
373,"alpha",-2.49993469114851
374,"alpha",-2.31349531975321
375,"alpha",-2.44408277179624
376,"alpha",-2.04632234393145
377,"alpha",-2.30912837009113
378,"alpha",-2.22783962441936
379,"alpha",-2.29998481755634
380,"alpha",-2.05788784794018
381,"alpha",-2.66580512835239
382,"alpha",-2.35573249150079
383,"alpha",-2.50306137274559
384,"alpha",-2.33080686262937
385,"alpha",-1.90579490819978
386,"alpha",-2.51494698941344
387,"alpha",-2.22023748980903
388,"alpha",-2.51735060440146
389,"alpha",-2.58779987732913
390,"alpha",-2.29821413451913
391,"alpha",-2.42679032895132
392,"alpha",-2.0877876348602
393,"alpha",-2.23984574324797
394,"alpha",-2.43118413928168
395,"alpha",-2.21752270731277
396,"alpha",-2.02020483917345
397,"alpha",-2.39236708263051
398,"alpha",-2.56446985740922
399,"alpha",-2.5540544771191
400,"alpha",-2.15445150785934
401,"alpha",-2.21141111935712
402,"alpha",-2.24024166629432
403,"alpha",-2.71686267105233
404,"alpha",-2.33117997347333
