"sampleNum","varName","value"
1,"beta[1]",3.16779007076498
2,"beta[1]",3.31477257241285
3,"beta[1]",3.16033098973354
4,"beta[1]",3.1675429951384
5,"beta[1]",3.2112899683632
6,"beta[1]",3.17535623778231
7,"beta[1]",2.89256771023949
8,"beta[1]",2.95462549986288
9,"beta[1]",3.00743839312432
10,"beta[1]",3.27481908496667
11,"beta[1]",3.17957566862388
12,"beta[1]",3.2942849587998
13,"beta[1]",3.4144594510563
14,"beta[1]",3.50144908863107
15,"beta[1]",3.20809509919939
16,"beta[1]",3.25679679603288
17,"beta[1]",3.01734798687227
18,"beta[1]",3.15082185171729
19,"beta[1]",3.11777927971858
20,"beta[1]",2.97746466771568
21,"beta[1]",2.90962869590164
22,"beta[1]",3.16739563737407
23,"beta[1]",3.082208174737
24,"beta[1]",3.18722648111068
25,"beta[1]",2.85705886419276
26,"beta[1]",2.79108957679936
27,"beta[1]",2.9769766468569
28,"beta[1]",2.61016558600599
29,"beta[1]",2.94267787602421
30,"beta[1]",3.39214082757874
31,"beta[1]",3.21621575356946
32,"beta[1]",2.93694831219335
33,"beta[1]",3.07204831433592
34,"beta[1]",3.05384719935658
35,"beta[1]",3.082720546152
36,"beta[1]",2.52392277996731
37,"beta[1]",2.54762500529841
38,"beta[1]",2.50901136275766
39,"beta[1]",2.44892803683805
40,"beta[1]",2.40003317345741
41,"beta[1]",2.74090221356635
42,"beta[1]",3.49860908610356
43,"beta[1]",3.31993254272102
44,"beta[1]",2.84847572357868
45,"beta[1]",3.07147278191869
46,"beta[1]",3.09080272544214
47,"beta[1]",3.11070960120036
48,"beta[1]",3.04371728543188
49,"beta[1]",2.85848440191322
50,"beta[1]",2.73276490451153
51,"beta[1]",3.28615719377388
52,"beta[1]",3.24071081891516
53,"beta[1]",2.97176695238972
54,"beta[1]",3.21850495381318
55,"beta[1]",3.22241763616708
56,"beta[1]",3.15777250621081
57,"beta[1]",2.75517540321873
58,"beta[1]",2.84689950179563
59,"beta[1]",2.82060798314358
60,"beta[1]",3.05760235465489
61,"beta[1]",3.04768288051718
62,"beta[1]",2.85870747854138
63,"beta[1]",3.02655442782235
64,"beta[1]",3.30945270016872
65,"beta[1]",3.32722177671857
66,"beta[1]",3.4813240836639
67,"beta[1]",2.78198512004081
68,"beta[1]",2.8084725738097
69,"beta[1]",2.83914217564355
70,"beta[1]",3.45724296602121
71,"beta[1]",3.26256912992643
72,"beta[1]",3.04242766850009
73,"beta[1]",3.0428853457571
74,"beta[1]",3.43544961120054
75,"beta[1]",3.25826362305477
76,"beta[1]",3.04089769151188
77,"beta[1]",3.14389387213659
78,"beta[1]",3.26330015032564
79,"beta[1]",2.95876743534132
80,"beta[1]",3.43037064144294
81,"beta[1]",2.9251207768474
82,"beta[1]",3.07426003035262
83,"beta[1]",3.00568539265042
84,"beta[1]",2.82643285447892
85,"beta[1]",2.82860303772403
86,"beta[1]",2.90876533518705
87,"beta[1]",3.30444411738137
88,"beta[1]",3.38895693882609
89,"beta[1]",3.24683476744264
90,"beta[1]",3.24302867146235
91,"beta[1]",2.57724150222462
92,"beta[1]",3.33242467399545
93,"beta[1]",2.96242896472412
94,"beta[1]",3.14525356284251
95,"beta[1]",3.27639887629012
96,"beta[1]",3.56081671455522
97,"beta[1]",3.33660302963466
98,"beta[1]",2.80418243725151
99,"beta[1]",2.98347574760947
100,"beta[1]",2.72897144176434
101,"beta[1]",2.64804269709754
102,"beta[1]",2.96048404877545
103,"beta[1]",2.81950438423731
104,"beta[1]",2.94305075305125
105,"beta[1]",3.15416706910503
106,"beta[1]",3.27631490553783
107,"beta[1]",3.28868733220181
108,"beta[1]",3.30845307234475
109,"beta[1]",2.62074150173406
110,"beta[1]",2.65683014038235
111,"beta[1]",2.93538647859162
112,"beta[1]",2.93210415915311
113,"beta[1]",2.9381961585921
114,"beta[1]",3.06408673897114
115,"beta[1]",3.12770108202415
116,"beta[1]",2.91687052041812
117,"beta[1]",3.15452268291424
118,"beta[1]",3.05506373266792
119,"beta[1]",2.87135802190619
120,"beta[1]",3.06107205581585
121,"beta[1]",3.2396172784347
122,"beta[1]",3.24581801127807
123,"beta[1]",3.18912672654481
124,"beta[1]",3.23954091205094
125,"beta[1]",2.64930808711224
126,"beta[1]",2.66042552841596
127,"beta[1]",2.89623580685514
128,"beta[1]",2.82907160893982
129,"beta[1]",3.06549298026114
130,"beta[1]",3.32852870416198
131,"beta[1]",3.14245723959065
132,"beta[1]",3.44977700834088
133,"beta[1]",3.43273669598086
134,"beta[1]",2.91816345429737
135,"beta[1]",2.83988729485396
136,"beta[1]",2.87768927505842
137,"beta[1]",2.91011819990486
138,"beta[1]",2.50354077989449
139,"beta[1]",2.41277936445631
140,"beta[1]",2.65391420089976
141,"beta[1]",2.03148254403744
142,"beta[1]",3.06840519478559
143,"beta[1]",3.28620846038134
144,"beta[1]",3.38823989369054
145,"beta[1]",3.30809083646716
146,"beta[1]",3.14620026663127
147,"beta[1]",3.11893285703674
148,"beta[1]",3.20595724489418
149,"beta[1]",3.33838789070629
150,"beta[1]",3.50287748778284
151,"beta[1]",3.52041702594161
152,"beta[1]",3.49364830018274
153,"beta[1]",3.56050485850168
154,"beta[1]",3.42339461858659
155,"beta[1]",3.40588763041674
156,"beta[1]",3.44644270853291
157,"beta[1]",3.12920508113292
158,"beta[1]",3.07100113957414
159,"beta[1]",3.1827494374031
160,"beta[1]",2.91375081708353
161,"beta[1]",2.93549228849792
162,"beta[1]",3.2150057765593
163,"beta[1]",3.2675844003931
164,"beta[1]",3.22091347571345
165,"beta[1]",3.1186954017263
166,"beta[1]",3.39996496946957
167,"beta[1]",3.29059872667441
168,"beta[1]",2.74574077395791
169,"beta[1]",2.89628900059755
170,"beta[1]",2.79990694811083
171,"beta[1]",2.89994943001042
172,"beta[1]",3.20536858208461
173,"beta[1]",3.01647657079354
174,"beta[1]",2.9233534880713
175,"beta[1]",3.00612925580233
176,"beta[1]",2.97142879440597
177,"beta[1]",2.76792538668495
178,"beta[1]",2.85548325288967
179,"beta[1]",2.79455874250506
180,"beta[1]",2.64163565332679
181,"beta[1]",2.75426774817863
182,"beta[1]",3.0242844861213
183,"beta[1]",3.0817298064958
184,"beta[1]",2.99998683744049
185,"beta[1]",3.11663441502384
186,"beta[1]",3.20378988539981
187,"beta[1]",2.81667687438682
188,"beta[1]",3.1340973783261
189,"beta[1]",2.83522480236872
190,"beta[1]",2.83426301743777
191,"beta[1]",2.69355029839246
192,"beta[1]",2.8776168853551
193,"beta[1]",3.09139081401539
194,"beta[1]",3.35996719021691
195,"beta[1]",3.00320062955832
196,"beta[1]",3.06910196670645
197,"beta[1]",3.20325062823387
198,"beta[1]",2.93655008362928
199,"beta[1]",2.77418088144228
200,"beta[1]",2.84411433081241
201,"beta[1]",2.96595151649644
202,"beta[1]",3.05040580069216
203,"beta[1]",3.06154996098757
204,"beta[1]",2.72709930559854
205,"beta[1]",3.28386526889444
206,"beta[1]",3.12078758257848
207,"beta[1]",2.97572389821818
208,"beta[1]",2.94891970316658
209,"beta[1]",3.04931673926155
210,"beta[1]",2.88147546005162
211,"beta[1]",3.1361044111181
212,"beta[1]",2.92713813017914
213,"beta[1]",3.01698235275364
214,"beta[1]",2.74882422904615
215,"beta[1]",3.20484359647062
216,"beta[1]",3.11675226828645
217,"beta[1]",2.99531066066233
218,"beta[1]",2.96677373922143
219,"beta[1]",2.97500068215859
220,"beta[1]",3.02958448486869
221,"beta[1]",3.10580008959202
222,"beta[1]",2.97234217683328
223,"beta[1]",3.00448186404963
224,"beta[1]",2.84708020833458
225,"beta[1]",2.9292066914234
226,"beta[1]",3.17453072284732
